J004051.59+403303.0	2
J004056.49+410308.7	2
J004425.18+413452.2	2
J004621.08+421308.2	2
J004043.10+410846.0	2	
J004052.19+403116.6	2
J004057.03+405238.6	2
J004302.52+414912.4	1
J004313.27+410257.4	2
J004322.50+413940.9	1
J004333.09+411210.4	1
J004419.43+412247.0 	1
J004444.52+412804.0	1
J004450.54+413037.7	1
J004522.58+415034.8	1
J004526.62+415006.3	1
J003910.85+403622.4	3
J003944.71+402056.2	3
J004030.28+404233.1	3
J004032.37+403859.8	3
J004033.80+405717.2	3
J004058.04+410327.9	3
J004109.26+404906.0	3
J004129.74+405100.8	3
J004130.37+410500.9	3
J004220.31+405123.2	3
J004253.42+412700.5	3
J004259.31+410629.1	3
J004303.21+410433.8	3
J004339.28+411019.4	3
J004410.90+413203.2	3
J004416.28+412106.6	3
J004433.58+415248.0	3
J004434.65+412503.6	3
J004438.55+412511.1	3
J004442.07+412732.3	3
J004443.57+412616.5	3
J004500.90+413100.7	3
J004511.60+413716.8	3
J004251.90+413745.9	3
J004618.59+414410.9	3
J004406.32+420131.3	3
J004532.62+413227.8	3
J004535.23+413600.5	3
J004034.82+401825.5	3
J004247.30+414451.0	3
J004318.57+415311.1	3
J004021.21+403117.1	3
J004518.76+413630.7	3
J004424.21+412116.0	3
J003907.59+402628.4	3
J004509.86+413031.5	3
J004129.31+405102.9	3
J003930.79+401841.1	3
J004313.02+414144.9	3
J004207.85+405152.4	3
J004207.22+405148.3	4
J004337.16+412151.0	4
J004432.41+412947.5	4
J004120.56+403515.4	4
J004101.24+410434.6	4
J004508.90+413117.8	4
J003745.26+395823.6	4
J004156.90+412109.0	4
J004554.48+413359.8	3
J003943.43+403524.9	4
J004243.54+414620.6	4
J004248.11+403434.5	4
J003934.02+404714.2	4
J004427.76+412209.8	4
J004237.52+413024.8	3
J003949.86+405305.8	4
J003948.85+403844.8	4
J004259.95+410220.3	4
J004101.76+410429.2	4
J004409.23+415941.1	4
J004409.98+420121.1	4
J004232.90+412103.4	4
J003953.55+402827.7	4
J003937.44+394941.1	3
J004107.40+405328.6	3
J004444.50+412314.3	4
J004038.10+403827.2	4
J004009.13+403142.9	4
J004229.30+405727.6	4
J004410.62+411759.7	4
J004034.00+403500.1	4
J004559.84+414038.2	4
J004217.15+403740.2	4
J004301.96+405315.2	4
J004128.74+405224.7	4
J004458.01+413217.5	3
J004235.91+413050.6	4
J004428.99+412010.7	4
J004021.64+403256.5	4
J004255.16+413515.3	4
J004518.17+413615.6	4
J004250.67+414008.6	4
J004302.55+413332.0	4
J003948.28+403856.4	4
J003935.23+401947.7	4
J004131.50+403917.8	3
J004441.56+412636.6	4
J004214.85+405652.0	4
J004002.91+400659.2	4
J004245.97+414422.1	4
J004025.48+405041.0	4
J004149.87+412712.7	4
J004143.45+403956.4	4
J004240.34+412807.2	3
J004034.00+405358.3	4
J004233.76+410014.6	4
J003711.98+395445.2	3
J003926.72+402239.4	3
J004304.89+410345.9	4
J004007.14+410321.8	3
J004447.45+412409.7	3
J004035.37+405701.0	3
J004032.90+404352.8	4
J004029.38+403604.2	4
J004120.99+403453.5	4
