ID	Gal	U	B	V	R	I	J	H	K	3.6	4.5	5.8	8.0	F_U_Jy	F_B_Jy	F_V_Jy	F_R_Jy	F_I_Jy	F_J_Jy	F_H_Jy	F_K_Jy	F_3.6_Jy	F_4.5_Jy	F_5.8_Jy	F_8.0_Jy	lam_F_0.36_um	F_0.44_um	lam_F_0.44_um	F_0.55_um	lam_F_0.55_um	F_0.71_um	lam_F_0.71_um	F_0.97_um	lam_F_0.97_um	F_1.24_um	lam_F_1.24_um	F_1.66_um	lam_F_1.66_um	F_2.16_um	lam_F_2.16_um	F_3.55_um	lam_F_3.55_um	F_4.44_um	lam_F_4.44_um	F_5.73_um	lam_F_5.73_um	F_7.87_um	lam_F_7.87_um
J013231.94+303516.7	M33	18.47	18.12	17.4	1.1	0.65	15.822	15.514	15.326	99.99	99.99	99.99	99.99	7.46082182688e-05	0.000233318970597	0.000414578405962	1067.81255908	1448.04020261	0.000747632749479	0.000637822677959	0.000493776543372	99.99	99.99	99.99	99.99	6.2173515224e-13	3.61547991628e-12	1.59081116316e-12	4.11152138144e-12	2.26133675979e-12	6.35476627105e-06	4.51188405245e-06	4.616984385e-06	4.47847485345e-06	1.47053598547e-12	1.81611194205e-12	6.92722306167e-13	1.15130447285e-12	3.17794535475e-13	6.86118402091e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013232.49+303521.8	M33	21.89	21.02	18.96	17.91	16.81	15.672	14.663	14.459	99.99	99.99	99.99	99.99	3.19732415486e-06	1.61417289962e-05	9.85386657255e-05	0.0002016020874	0.000497485720487	0.000858397248864	0.00139668978433	0.00109731282504	99.99	99.99	99.99	99.99	2.66443679571e-14	2.50130098082e-13	1.10057243156e-13	9.77242965872e-13	5.3748363123e-13	1.19977437453e-12	8.51839805914e-13	1.5862016808e-12	1.53861563037e-12	1.68840121726e-12	2.08517550331e-12	1.51690775796e-12	2.52110069373e-12	7.06230427887e-13	1.52475149381e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013233.49+301511.7	M33	23.4	21.59	19.58	18.57	17.6	16.502	15.469	15.312	99.99	99.99	99.99	99.99	7.95768362174e-07	9.54882758343e-06	5.5668135717e-05	0.000109772871408	0.00024031485617	0.000399657821789	0.000664813694099	0.000500184759926	99.99	99.99	99.99	99.99	6.63140301812e-15	1.47967369578e-13	6.51056426143e-14	5.52080684797e-13	3.03644376638e-13	6.53280329742e-13	4.63829034117e-13	7.66228683719e-13	7.43241823207e-13	7.86096127043e-13	9.70828716898e-13	7.22036533447e-13	1.20002471859e-12	3.21918863029e-13	6.95022825279e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013233.55+302543.1	M33	21.36	21.28	19.4	18.52	17.66	16.577	16.025	15.792	99.99	99.99	99.99	99.99	5.20938756057e-06	1.27042798449e-05	6.5706249335e-05	0.000114946307453	0.000227394847337	0.000372982381032	0.000398382228474	0.000321462601594	99.99	99.99	99.99	99.99	4.34115630048e-14	1.96863840571e-13	8.66200898514e-14	6.5163222481e-13	3.58397723646e-13	6.84068483153e-13	4.85688623039e-13	7.25034054639e-13	7.03283033e-13	7.33627591402e-13	9.06030075382e-13	4.32672379928e-13	7.19101495441e-13	2.06893299241e-13	4.46682633062e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013233.77+302718.8	M33	20.96	20.36	18.32	17.15	15.99	14.57	13.633	13.31	99.99	99.99	99.99	99.99	7.52985596128e-06	2.96449042295e-05	0.000177666962464	0.00040597101222	0.00105871878659	0.00236858141381	0.00360661642873	0.00316177131573	99.99	99.99	99.99	99.99	6.27487996773e-14	4.59373515953e-13	2.02124347019e-13	1.7619864046e-12	9.69092522529e-13	2.41601475235e-12	1.71537047417e-12	3.3756577317e-12	3.27438799975e-12	4.65881705415e-12	5.75363906188e-12	3.91705051625e-12	6.510137958e-12	2.03491571248e-12	4.39338302325e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013233.93+302731.4	M33	21.6	20.16	18.21	17.3	16.43	15.211	14.681	14.385	99.99	99.99	99.99	99.99	4.176251731e-06	3.56410140228e-05	0.000196610486289	0.000353585970221	0.00070596085359	0.0013124667719	0.00137372548942	0.00117470943014	99.99	99.99	99.99	99.99	3.48020977583e-14	5.52288440436e-13	2.43006913792e-13	1.94985606237e-12	1.07242083431e-12	2.10426088209e-12	1.49402522629e-12	2.25091142605e-12	2.18338408327e-12	2.58152096623e-12	3.18817839329e-12	1.4919668459e-12	2.47964889788e-12	7.5604287543e-13	1.63229656805e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013234.03+302903.6	M33	21.61	21.34	19.62	18.83	18.08	99.99	99.99	99.99	99.99	99.99	99.99	99.99	4.13796362498e-06	1.20212616976e-05	5.36545648951e-05	8.63962762642e-05	0.000154447406349	99.99	99.99	99.99	99.99	99.99	99.99	99.99	3.44830302082e-14	1.86279881678e-13	8.19631479383e-14	5.32111387389e-13	2.92661263064e-13	5.14161533014e-13	3.6505468844e-13	4.92445763682e-13	4.77672390771e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013235.06+302926.9	M33	21.94	20.77	19.24	18.53	17.87	16.885	16.313	15.489	99.99	99.99	99.99	99.99	3.053420863e-06	2.03212328236e-05	7.61389138873e-05	0.000113892473371	0.000187404760848	0.000280858981798	0.000305562431071	0.000424942780369	99.99	99.99	99.99	99.99	2.54451738583e-14	3.1489513673e-13	1.38553860161e-13	7.55096666651e-13	4.15303166658e-13	6.77796905603e-13	4.81235802978e-13	5.9752819911e-13	5.79602353137e-13	5.52427966624e-13	6.82248538781e-13	3.31863257994e-13	5.51556734786e-13	2.73493132276e-13	5.90471672583e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013235.17+303331.6	M33	18.79	18.76	18.66	18.58	18.42	99.99	99.99	99.99	99.99	99.99	99.99	99.99	5.55631256609e-05	0.000129404700414	0.000129899260101	0.000108766467673	0.000112922535125	99.99	99.99	99.99	99.99	99.99	99.99	99.99	4.63026047174e-13	2.00523812625e-12	8.82304775552e-13	1.28825712497e-12	7.08541418732e-13	6.47291019679e-13	4.59576623972e-13	3.60046344324e-13	3.49244953994e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013235.71+304438.9	M33	21.81	20.19	18.43	17.64	16.94	15.87	15.125	15.209	99.99	99.99	99.99	99.99	3.4418082294e-06	3.46696974433e-05	0.000160548657128	0.0002585205222	0.000441347447833	0.000715300151553	0.000912640960649	0.000549959179208	99.99	99.99	99.99	99.99	2.8681735245e-14	5.37237047158e-13	2.36384300749e-13	1.59221808722e-12	8.75719947971e-13	1.53850737274e-12	1.09234023465e-12	1.40720835742e-12	1.3649921067e-12	1.40694025777e-12	1.73757121835e-12	9.91195159424e-13	1.64736635496e-12	3.53953674456e-13	7.64185983151e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013236.66+303159.8	M33	22.02	20.28	18.47	17.65	16.89	16.002	15.277	14.933	99.99	99.99	99.99	99.99	2.83652534642e-06	3.19117081645e-05	0.000154741455444	0.000256150391806	0.000462147512235	0.000633414961068	0.000793414177562	0.000709137505153	99.99	99.99	99.99	99.99	2.36377112201e-14	4.94499609986e-13	2.17579828394e-13	1.5346260044e-12	8.44044302421e-13	1.52440225237e-12	1.08232559918e-12	1.47352804411e-12	1.42932220279e-12	1.24587840037e-12	1.53865982446e-12	8.61706110208e-13	1.43215555517e-12	4.56400829613e-13	9.85369391135e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013237.47+301833.9	M33	20.93	19.82	18.21	17.5	16.89	16.05	15.725	15.471	99.99	99.99	99.99	99.99	7.74081465074e-06	4.87472422524e-05	0.000196610486289	0.0002941	0.000462147512235	0.000606021897735	0.000525170057207	0.000432046464038	99.99	99.99	99.99	99.99	6.45067887562e-14	7.55380820027e-13	3.32367560812e-13	1.94985606237e-12	1.07242083431e-12	1.75024796667e-12	1.24267605634e-12	1.47352804411e-12	1.42932220279e-12	1.19199835644e-12	1.47211797021e-12	5.70373280428e-13	9.47960392071e-13	2.78065062397e-13	6.00342469715e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013239.73+302343.2	M33	23.08	21.32	19.5	18.65	17.85	16.793	16.054	15.571	99.99	99.99	99.99	99.99	1.06852987391e-06	1.22447536387e-05	5.9924811607e-05	0.000101975307718	0.00019088887548	0.000305694987099	0.000387882295076	0.000394031058308	99.99	99.99	99.99	99.99	8.90441561591e-15	1.89743083245e-13	8.34869566277e-14	5.942956523e-13	3.26862608765e-13	6.06875467475e-13	4.30881581907e-13	6.08637077733e-13	5.90377965401e-13	6.01278474517e-13	7.42578916029e-13	4.21268680547e-13	7.00148547069e-13	2.53598350952e-13	5.47518839705e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013240.21+304149.6	M33	18.74	18.95	18.43	18.14	17.79	99.99	99.99	99.99	99.99	99.99	99.99	99.99	5.81817350985e-05	0.000108630068065	0.000160548657128	0.000163115422181	0.000201734705921	99.99	99.99	99.99	99.99	99.99	99.99	99.99	4.84847792487e-13	1.68331717043e-12	7.40659554991e-13	1.59221808722e-12	8.75719947971e-13	9.70732526369e-13	6.89220093722e-13	6.43218320505e-13	6.2392177089e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013240.92+305336.6	M33	22.53	20.61	18.71	17.78	16.91	15.781	14.927	14.976	99.99	99.99	99.99	99.99	1.77331818895e-06	2.35477844452e-05	0.000124052830326	0.000227245360077	0.000453712369509	0.000776404988389	0.00109521644602	0.0006816013707	99.99	99.99	99.99	99.99	1.47776515745e-14	3.64893354006e-13	1.60553075763e-13	1.23027600323e-12	6.76651801779e-13	1.35238262295e-12	9.60191662296e-13	1.44663312629e-12	1.4032341325e-12	1.52712876144e-12	1.88600402038e-12	1.18948555524e-12	1.97692499282e-12	4.38678576147e-13	9.47107045901e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013241.21+304446.4	M33	18.31	18.4	17.78	17.44	17.08	16.498	15.958	15.908	99.99	99.99	99.99	99.99	8.64543139129e-05	0.000180281038715	0.000292150529225	0.00031081002946	0.000387954344391	0.000401132931201	0.000423740482372	0.000288888633851	99.99	99.99	99.99	99.99	7.20452615941e-13	2.79361113712e-12	1.22918890033e-12	2.89736062041e-12	1.59354834123e-12	1.84969269665e-12	1.31328181462e-12	1.23696783205e-12	1.19985879709e-12	7.88997553544e-13	9.74411978627e-13	4.60213307411e-13	7.64874516918e-13	1.85928696758e-13	4.014200563e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013241.56+301437.2	M33	22.94	21.15	19.3	18.38	17.54	16.529	15.649	15.442	99.99	99.99	99.99	99.99	1.21558874028e-06	1.43202319237e-05	7.20454697462e-05	0.000130766055763	0.000253968947725	0.000389841722293	0.000563248386936	0.000443741916898	99.99	99.99	99.99	99.99	1.0129906169e-14	2.21904420305e-13	9.76379449342e-14	7.14500526408e-13	3.92975289525e-13	7.78214971807e-13	5.52532629983e-13	8.09763889016e-13	7.85470972345e-13	7.66788616027e-13	9.46983940794e-13	6.11729145148e-13	1.01669383924e-12	2.85592254724e-13	6.1659367795e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013242.26+302114.1	M33	17.04	18.11	17.44	1.6	99.99	15.085	14.224	13.848	99.99	99.99	99.99	99.99	0.000278475292417	0.000235477844452	0.000399582700234	673.744176679	99.99	0.00147396888926	0.00209266618479	0.00192632896601	99.99	99.99	99.99	99.99	2.32062743681e-12	3.64893354006e-12	1.60553075763e-12	3.96280363868e-12	2.17954200127e-12	4.00958645117e-06	2.84680638033e-06	99.99	99.99	2.89918318135e-12	3.58049122897e-12	2.27278928088e-12	3.77737578482e-12	1.23978513589e-12	2.67669610839e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013242.81+302458.9	M33	20.92	20.8	19.0	18.12	17.25	16.065	15.436	15.042	99.99	99.99	99.99	99.99	7.81243952685e-06	1.97674228129e-05	9.49744259754e-05	0.000166147964292	0.000331726846008	0.000597706965579	0.000685330336702	0.000641402214631	99.99	99.99	99.99	99.99	6.51036627237e-14	3.06313370035e-13	1.34777882815e-13	9.4189513364e-13	5.18042323502e-13	9.88779791464e-13	7.02033651939e-13	1.05769001809e-12	1.02595931755e-12	1.17564352587e-12	1.45191975444e-12	7.44319115222e-13	1.2370583695e-12	4.12806403196e-13	8.91249024499e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013243.72+301912.5	M33	22.56	20.94	18.98	17.86	16.65	15.409	14.413	14.109	99.99	99.99	99.99	99.99	1.72499034517e-06	1.73760097523e-05	9.67401323839e-05	0.000211103301063	0.000576475187911	0.0010936750812	0.00175832826188	0.00151471335704	99.99	99.99	99.99	99.99	1.43749195431e-14	2.69256349467e-13	1.18472793766e-13	9.59406271576e-13	5.27673449367e-13	1.25631799879e-12	8.91985779139e-13	1.83805459e-12	1.7829129523e-12	2.1511745766e-12	2.6567006021e-12	1.90967372384e-12	3.17387772903e-12	9.74869369839e-13	2.10474296948e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013243.77+304556.3	M33	18.74	18.76	18.03	17.64	17.23	16.729	16.187	16.015	99.99	99.99	99.99	99.99	5.81817350985e-05	0.000129404700414	0.000232063414153	0.0002585205222	0.00033789410853	0.000324256221068	0.000343162605535	0.000261776378431	99.99	99.99	99.99	99.99	4.84847792487e-13	2.00523812625e-12	8.82304775552e-13	2.30145534697e-12	1.26580044083e-12	1.53850737274e-12	1.09234023465e-12	1.07735394366e-12	1.04503332535e-12	6.37786990906e-13	7.87666933768e-13	3.72699810953e-13	6.19427085803e-13	1.68479251796e-13	3.63746704628e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013243.89+302320.0	M33	21.4	21.28	19.44	18.47	17.47	16.272	15.416	15.011	99.99	99.99	99.99	99.99	5.02095892619e-06	1.27042798449e-05	6.33295901426e-05	0.000120363560027	0.000270882294556	0.000493956059097	0.000698071578937	0.000659979514046	99.99	99.99	99.99	99.99	4.18413243849e-14	1.96863840571e-13	8.66200898514e-14	6.28062051001e-13	3.4543412805e-13	7.16307637532e-13	5.08578422648e-13	8.63691023136e-13	8.37780292442e-13	9.71573490659e-13	1.19989326096e-12	7.58157040729e-13	1.26005700169e-12	4.24762751299e-13	9.17062780055e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013244.40+301547.7	M33	16.27	16.64	16.49	16.37	99.99	16.107	15.796	15.932	99.99	99.99	99.99	99.99	0.000565961212916	0.000911905954737	0.000958532135191	0.000832712385965	99.99	0.00057502710578	0.00049192620332	0.00028257286512	99.99	99.99	99.99	99.99	4.71634344096e-12	1.4130774092e-11	6.21754060048e-12	9.50610382008e-12	5.22835710104e-12	4.9556380835e-12	3.51850303929e-12	99.99	99.99	1.13103398996e-12	1.3968269776e-12	5.3426801179e-13	8.87953435596e-13	1.81863868615e-13	3.92644092339e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013246.40+304257.6	M33	22.81	20.98	18.97	17.97	16.99	15.729	14.873	14.628	99.99	99.99	99.99	99.99	1.3702085358e-06	1.6747502514e-05	9.76352578079e-05	0.000190763386907	0.00042148354054	0.000814494802033	0.00115106528611	0.000939140252239	99.99	99.99	99.99	99.99	1.1418404465e-14	2.59517084411e-13	1.14187517141e-13	9.68283548508e-13	5.32555951679e-13	1.13527109843e-12	8.06042479887e-13	1.34387354833e-12	1.30355734188e-12	1.60204848865e-12	1.97852988348e-12	1.25014150029e-12	2.07773517349e-12	6.04430575354e-13	1.30496561219e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013247.31+303630.6	M33	18.12	18.46	18.41	18.36	18.25	99.99	99.99	99.99	99.99	99.99	99.99	99.99	0.000102988010508	0.000170588618322	0.000163533479514	0.00013319717825	0.000132062836061	99.99	99.99	99.99	99.99	99.99	99.99	99.99	8.58233420902e-13	2.64341867234e-12	1.16310421583e-12	1.62181963155e-12	8.92000797351e-13	7.92683068338e-13	5.6280497852e-13	4.21073980426e-13	4.08441761013e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013248.83+310623.5	M33	20.54	19.77	18.77	18.16	17.59	16.706	16.175	15.625	99.99	99.99	99.99	99.99	1.10863010733e-05	5.10446290013e-05	0.000117383398027	0.000160138230201	0.000242538462157	0.000331198466342	0.000346976415887	0.000374912961504	99.99	99.99	99.99	99.99	9.23858422776e-14	7.909808213e-13	3.48031561372e-13	1.164132873e-12	6.40273080148e-13	9.53014660986e-13	6.766404093e-13	7.73318510438e-13	7.50118955125e-13	6.51441852203e-13	8.04530687471e-13	3.76841889297e-13	6.26311220012e-13	2.41293945701e-13	5.20953628769e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013249.12+301604.8	M33	23.09	21.18	19.26	18.35	17.53	16.446	15.559	15.324	99.99	99.99	99.99	99.99	1.05873353314e-06	1.39299658476e-05	7.47492220926e-05	0.000134429636566	0.000256318893465	0.000420812195019	0.000611927480029	0.000494686951638	99.99	99.99	99.99	99.99	8.82277944284e-15	2.15856908796e-13	9.49770398701e-14	7.41314599266e-13	4.07723029596e-13	8.00017674464e-13	5.68012548869e-13	8.1725654203e-13	7.92738845769e-13	8.27705148458e-13	1.02221585835e-12	6.64598218002e-13	1.10456223832e-12	3.18380474147e-13	6.87383443683e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013250.70+304510.6	M33	16.18	15.58	14.48	13.88	13.33	12.527	11.954	11.85	99.99	99.99	99.99	99.99	0.000614874763685	0.00242075061944	0.00610388970336	0.00825078032922	0.0122681935643	0.0155484935226	0.0169316762846	0.0121319456244	99.99	99.99	99.99	99.99	5.12395636404e-12	3.75116314996e-11	1.65051178598e-11	6.05344433391e-11	3.32939438365e-11	4.91020452046e-11	3.48624520953e-11	3.91163574163e-11	3.79428666938e-11	3.05826881725e-11	3.7769619893e-11	1.83890448686e-11	3.05625925715e-11	7.80811902845e-12	1.68577289824e-11	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013250.71+302251.2	M33	22.77	21.07	19.03	17.94	16.84	15.616	14.69	14.367	99.99	99.99	99.99	99.99	1.42163029148e-06	1.5415231517e-05	9.23861091974e-05	0.000196107870826	0.000483927853472	0.000903833256348	0.00136238532401	0.00119434681329	99.99	99.99	99.99	99.99	1.18469190957e-14	2.38872389209e-13	1.05103851252e-13	9.16225876337e-13	5.03924231986e-13	1.16707719198e-12	8.28624806306e-13	1.54297328134e-12	1.4966840829e-12	1.77777034145e-12	2.1955463717e-12	1.47965059279e-12	2.45917928522e-12	7.68681493323e-13	1.65958334408e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013250.99+304529.1	M33	22.29	20.8	18.91	18.0	17.14	15.983	15.247	14.951	99.99	99.99	99.99	99.99	2.2120078744e-06	1.97674228129e-05	0.000103182649968	0.000185564555012	0.000367096817576	0.000644597055089	0.000815642705699	0.000697477906166	99.99	99.99	99.99	99.99	1.84333989533e-14	3.06313370035e-13	1.34777882815e-13	1.02329900795e-12	5.62814454371e-13	1.10433180923e-12	7.84075584556e-13	1.1704649301e-12	1.13535098219e-12	1.26787271732e-12	1.56582280589e-12	8.85847925489e-13	1.47227925216e-12	4.48896712835e-13	9.6916800301e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013251.42+302250.2	M33	21.58	21.64	19.73	18.81	17.95	16.812	16.169	15.412	99.99	99.99	99.99	99.99	4.25389404754e-06	9.11905954737e-06	4.84849193302e-05	8.80025029626e-05	0.00017409272355	0.00030039196863	0.000348899186339	0.000456173922733	99.99	99.99	99.99	99.99	3.54491170628e-14	1.4130774092e-13	6.21754060048e-14	4.80842175176e-13	2.64463196347e-13	5.23720509597e-13	3.71841561814e-13	5.55083612127e-13	5.38431103763e-13	5.90847845984e-13	7.2969708979e-13	3.78930159326e-13	6.297819248e-13	2.93593492475e-13	6.33868350254e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013252.00+303622.6	M33	99.99	21.24	19.32	18.38	17.43	16.2	15.402	15.067	99.99	99.99	99.99	99.99	99.99	1.31810513416e-05	7.07304917272e-05	0.000130766055763	0.000281048077944	0.000527823007643	0.000707131130081	0.000626802117741	99.99	99.99	99.99	99.99	99.99	2.0425182864e-13	8.98708046016e-14	7.01459422088e-13	3.85802682149e-13	7.78214971807e-13	5.52532629983e-13	8.96103978991e-13	8.69220859621e-13	1.03818716775e-12	1.28216115217e-12	7.67996379119e-13	1.2764099821e-12	4.03409782252e-13	8.70961719881e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013252.56+303419.6	M33	16.95	17.26	17.12	17.02	16.85	99.99	99.99	99.99	99.99	99.99	99.99	99.99	0.000302542693226	0.000515169391382	0.000536545648951	0.000457609492255	0.000479491176244	99.99	99.99	99.99	99.99	99.99	99.99	99.99	2.52118911022e-12	7.98299676729e-12	3.51251857761e-12	5.32111387389e-12	2.92661263064e-12	2.72332568293e-12	1.93356123488e-12	1.52882721727e-12	1.48296240075e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013253.15+303450.2	M33	19.68	20.33	20.46	1.18	1.29	99.99	99.99	99.99	99.99	99.99	99.99	99.99	2.44786052415e-05	3.04754447043e-05	2.47517937415e-05	991.961974766	803.120329767	99.99	99.99	99.99	99.99	99.99	99.99	99.99	2.03988377013e-13	4.72243461327e-13	2.07787122984e-13	2.45472334626e-13	1.35009784044e-13	5.90336426165e-06	4.19138862577e-06	2.56069825624e-06	2.48387730856e-06	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013253.72+303208.9	M33	22.93	20.99	19.0	17.95	16.79	15.588	14.643	14.384	99.99	99.99	99.99	99.99	1.22683644441e-06	1.65939604881e-05	9.49744259754e-05	0.000194309943059	0.000506734670568	0.000927445326411	0.0014226561861	0.00117579187592	99.99	99.99	99.99	99.99	1.02236370367e-14	2.5713781748e-13	1.13140639691e-13	9.4189513364e-13	5.18042323502e-13	1.15637736397e-12	8.21027928418e-13	1.61569137178e-12	1.56722063062e-12	1.82421346308e-12	2.25290362691e-12	1.54510917873e-12	2.56797145505e-12	7.56739537427e-13	1.63380066131e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013254.33+303603.8	M33	17.52	17.76	17.66	17.59	17.44	99.99	99.99	99.99	99.99	99.99	99.99	99.99	0.000178972650013	0.000325049911144	0.000326292188911	0.000270704219053	0.000278471413678	99.99	99.99	99.99	99.99	99.99	99.99	99.99	1.4914387501e-12	5.03693044128e-12	2.21624939416e-12	3.2359555925e-12	1.77977557588e-12	1.61101499139e-12	1.14382064388e-12	8.8788844833e-13	8.6125179488e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013254.37+303050.6	M33	17.61	17.95	17.65	1.07	0.83	16.711	16.17	16.294	99.99	99.99	99.99	99.99	0.00016473529906	0.000272866394027	0.000329311333362	1097.72871408	1226.81935643	0.000329676747616	0.000348577986254	0.000202455908187	99.99	99.99	99.99	99.99	1.37279415883e-12	4.22830156034e-12	1.86045268655e-12	3.26589752095e-12	1.79624363652e-12	6.53280329742e-06	4.63829034117e-06	3.91163574163e-06	3.79428666938e-06	6.48448748773e-13	8.00834204734e-13	3.78581312426e-13	6.29202141252e-13	1.30300602895e-13	2.81319001649e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013255.15+302026.3	M33	22.82	21.03	19.14	18.15	17.21	15.968	15.239	14.686	99.99	99.99	99.99	99.99	1.35764638843e-06	1.59937407353e-05	8.34846589554e-05	0.000161619971002	0.000344176029023	0.000653564293368	0.00082167477894	0.000890287867719	99.99	99.99	99.99	99.99	1.13137199036e-14	2.47836891559e-13	1.09048232286e-13	8.27947030963e-13	4.5537086703e-13	9.61832797073e-13	6.82901285922e-13	1.0973834489e-12	1.06446194543e-12	1.28551058375e-12	1.58760557093e-12	8.92399200368e-13	1.48316747101e-12	5.7298918541e-13	1.2370836513e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013256.53+303853.0	M33	17.68	18.06	17.97	17.89	17.75	99.99	99.99	99.99	99.99	99.99	99.99	99.99	0.000154449557598	0.000246575573359	0.000245248679325	0.000205350150039	0.00020930548985	99.99	99.99	99.99	99.99	99.99	99.99	99.99	1.28707964665e-12	3.82090247974e-12	1.68119709108e-12	2.43221830735e-12	1.33772006904e-12	1.2220798455e-12	8.67676690306e-13	6.67357285099e-13	6.47336566546e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013256.60+303146.3	M33	99.99	20.96	19.04	18.08	17.12	16.012	15.056	14.778	99.99	99.99	99.99	99.99	99.99	1.70588618322e-05	9.15391082571e-05	0.000172383234184	0.000373921656965	0.000627607777799	0.000972523169139	0.000817956965562	99.99	99.99	99.99	99.99	99.99	2.64341867234e-13	1.16310421583e-13	9.07825867013e-13	4.99304226857e-13	1.02588713063e-12	7.28379862748e-13	1.19222549782e-12	1.15645873288e-12	1.23445611854e-12	1.52455330639e-12	1.05623163899e-12	1.75545698401e-12	5.2643702379e-13	1.13657753436e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013259.33+303505.1	M33	18.1	17.96	17.54	17.32	17.01	16.532	16.253	15.843	99.99	99.99	99.99	99.99	0.000104902700577	0.00027036473989	0.000364423753832	0.000347132298945	0.000413790598942	0.000388766036606	0.000322923727314	0.000306711779085	99.99	99.99	99.99	99.99	8.74189171471e-13	4.18953625862e-12	1.84339595379e-12	3.61411987272e-12	1.98776592999e-12	2.06585379257e-12	1.46675619273e-12	1.31934509175e-12	1.279764739e-12	7.64672825202e-13	9.44370939125e-13	3.50718901713e-13	5.82894814646e-13	1.97399671304e-13	4.26185890344e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013259.59+303334.3	M33	18.44	18.33	18.1	17.96	17.74	99.99	99.99	99.99	99.99	99.99	99.99	99.99	7.66984643545e-05	0.000192287056625	0.000217573840307	0.000192528498793	0.000211242169703	99.99	99.99	99.99	99.99	99.99	99.99	99.99	6.39153869621e-13	2.97965480307e-12	1.31104811335e-12	2.15775709396e-12	1.18676640168e-12	1.14577563257e-12	8.13500699126e-13	6.7353226603e-13	6.53326298049e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J013300.07+303341.4	M33	99.99	21.3	19.32	18.24	17.01	15.782	14.754	14.585	99.99	99.99	99.99	99.99	99.99	1.24724006053e-05	7.07304917272e-05	0.000148763033095	0.000413790598942	0.000775690222181	0.00128439899372	0.000977080745565	99.99	99.99	99.99	99.99	99.99	1.93270670536e-13	8.50390950359e-14	7.01459422088e-13	3.85802682149e-13	8.85318586164e-13	6.28576196177e-13	1.31934509175e-12	1.279764739e-12	1.52572287141e-12	1.88426774619e-12	1.39495170635e-12	2.31840973595e-12	6.28849073183e-13	1.357685149e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
