ID	Gal	U	B	V	R	I	J	H	K	3.6	4.5	5.8	8.0	F_U_Jy	F_B_Jy	F_V_Jy	F_R_Jy	F_I_Jy	F_J_Jy	F_H_Jy	F_K_Jy	F_3.6_Jy	F_4.5_Jy	F_5.8_Jy	F_8.0_Jy	lam_F_0.36_um	F_0.44_um	lam_F_0.44_um	F_0.55_um	lam_F_0.55_um	F_0.71_um	lam_F_0.71_um	F_0.97_um	lam_F_0.97_um	F_1.24_um	lam_F_1.24_um	F_1.66_um	lam_F_1.66_um	F_2.16_um	lam_F_2.16_um	F_3.55_um	lam_F_3.55_um	F_4.44_um	lam_F_4.44_um	F_5.73_um	lam_F_5.73_um	F_7.87_um	lam_F_7.87_um
J003936.96+400743.8	M31	18.99	18.99	18.19	17.71	17.21	16.308	15.674	15.573	99.99	99.99	99.99	99.99	4.6215394934e-05	0.00010470081244	0.000200265748135	0.000242379019625	0.000344176029023	0.00047784639845	0.000550427288358	0.000393305894381	99.99	99.99	99.99	99.99	3.85128291116e-13	1.62242994483e-12	7.13869175724e-13	1.98610659308e-12	1.09235862619e-12	1.44244606006e-12	1.02413670264e-12	1.0973834489e-12	1.06446194543e-12	9.39887030012e-13	1.16076048207e-12	5.97804489782e-13	9.93551062017e-13	2.53131635519e-13	5.46511201085e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003937.44+394941.1	M31	17.71	17.96	17.5	17.2	16.86	16.512	16.191	15.896	99.99	99.99	99.99	99.99	0.000150240378367	0.00027036473989	0.0003781	0.000387699306809	0.000475095174716	0.000395993736855	0.000341900673767	0.000292099258914	99.99	99.99	99.99	99.99	1.25200315306e-12	4.18953625862e-12	1.84339595379e-12	3.74975206612e-12	2.06236363636e-12	2.30727617621e-12	1.63816608511e-12	1.51481084509e-12	1.46936651974e-12	7.7888915443e-13	9.61928105721e-13	3.71329260304e-13	6.17149230625e-13	1.87995054738e-13	4.05881323179e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003942.35+404031.8	M31	18.49	18.69	18.15	17.77	17.36	99.99	99.99	99.99	99.99	99.99	99.99	99.99	7.32464648178e-05	0.000138022551531	0.000207781404406	0.000229348035505	0.000299764789814	99.99	99.99	99.99	99.99	99.99	99.99	99.99	6.10387206815e-13	2.13877920761e-12	9.41062851346e-13	2.06064202716e-12	1.13335311494e-12	1.36489606529e-12	9.69076206359e-13	9.55781028211e-13	9.27107597364e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003943.43+403524.9	M31	17.46	17.41	17.17	17.0	16.78	16.345	16.444	16.615	99.99	99.99	99.99	99.99	0.000189141430204	0.000448693782554	0.00051239711681	0.000466117087903	0.000511423428746	0.00046183656788	0.00027083198739	0.000150636582801	99.99	99.99	99.99	99.99	1.57617858503e-12	6.95289952305e-12	3.05927579014e-12	5.08162429894e-12	2.79489336442e-12	2.7739560875e-12	1.96950882212e-12	1.63064117997e-12	1.58172194457e-12	9.0839692743e-13	1.12187020538e-12	2.94143443581e-13	4.88866403231e-13	9.69496900963e-14	2.09314380918e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003948.28+403856.4	M31	19.43	18.8	17.88	17.4	16.96	16.534	16.243	16.243	99.99	99.99	99.99	99.99	3.08167381839e-05	0.000124724006053	0.000266444449376	0.000322474237486	0.000433291949067	0.000388050562281	0.000325911703774	0.000212192707916	99.99	99.99	99.99	99.99	2.56806151532e-13	1.93270670536e-12	8.50390950359e-13	2.64242429134e-12	1.45333336024e-12	1.9191087333e-12	1.36256720064e-12	1.3815239103e-12	1.34007819299e-12	7.63265542357e-13	9.42632944811e-13	3.53964063755e-13	5.88288273961e-13	1.36567206257e-13	2.94848598309e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003948.85+403844.8	M31	18.48	18.05	17.4	17.03	16.67	16.34	15.765	16.393	99.99	99.99	99.99	99.99	7.39242060122e-05	0.000248857109049	0.000414578405962	0.000453414103212	0.000565953329933	0.00046396830862	0.000506174143475	0.000184812122649	99.99	99.99	99.99	99.99	6.16035050102e-13	3.85625685509e-12	1.69675301624e-12	4.11152138144e-12	2.26133675979e-12	2.69835808299e-12	1.91583423893e-12	1.80450631289e-12	1.75037112351e-12	9.12589897136e-13	1.12704852296e-12	5.49742321976e-13	9.13671739124e-13	1.18945064232e-13	2.56802393677e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003949.86+405305.8	M31	18.77	18.36	17.34	16.85	16.48	15.841	15.277	15.268	99.99	99.99	99.99	99.99	5.65961212916e-05	0.0001870467005	0.000438133718362	0.000535174022517	0.0006741873812	0.000734663252284	0.000793414177562	0.000520871331966	99.99	99.99	99.99	99.99	4.71634344096e-13	2.8984509375e-12	1.2753184125e-12	4.34512778541e-12	2.38982028198e-12	3.18492772774e-12	2.26129868669e-12	2.14960372367e-12	2.08511561196e-12	1.44502598427e-12	1.78460709057e-12	8.61706110208e-13	1.43215555517e-12	3.35232738789e-13	7.23767483046e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003953.55+402827.7	M31	19.24	18.63	17.45	16.9	16.43	16.031	15.594	15.259	99.99	99.99	99.99	99.99	3.6710193075e-05	0.000145864649124	0.000395919304018	0.000511087223735	0.00070596085359	0.000616720403858	0.00059251582855	0.000525206938758	99.99	99.99	99.99	99.99	3.05918275625e-13	2.26029931494e-12	9.94531698573e-13	3.92647243654e-12	2.1595598401e-12	3.041582367e-12	2.15952348057e-12	2.25091142605e-12	2.18338408327e-12	1.21304149327e-12	1.49810624419e-12	6.43515737802e-13	1.06952315623e-12	3.38023134901e-13	7.29791948251e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003955.87+401636.4	M31	18.87	18.97	18.43	18.09	17.74	99.99	99.99	99.99	99.99	99.99	99.99	99.99	5.16162760834e-05	0.000106647345873	0.000160548657128	0.000170802815193	0.000211242169703	99.99	99.99	99.99	99.99	99.99	99.99	99.99	4.30135634029e-13	1.65259316952e-12	7.2714099459e-13	1.59221808722e-12	8.75719947971e-13	1.01648174088e-12	7.21702036027e-13	6.7353226603e-13	6.53326298049e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J004002.91+400659.2	M31	18.21	18.38	17.98	17.71	17.44	99.99	99.99	99.99	99.99	99.99	99.99	99.99	9.47952701681e-05	0.000183632713465	0.000243000225918	0.000242379019625	0.000278471413678	99.99	99.99	99.99	99.99	99.99	99.99	99.99	7.89960584734e-13	2.84554824584e-12	1.25204122817e-12	2.40991959588e-12	1.32545577773e-12	1.44244606006e-12	1.02413670264e-12	8.8788844833e-13	8.6125179488e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
