ID	oID	Gal	RA	DEC	U	B	V	R	I	J	H	K	3.6	4.5	5.8	8.0	W1	W2	W3	W4	F_U_Jy	F_B_Jy	F_V_Jy	F_R_Jy	F_I_Jy	F_J_Jy	F_H_Jy	F_K_Jy	F_3.6_Jy	F_4.5_Jy	F_5.8_Jy	F_8.0_Jy	F_W1_Jy	F_W2_Jy	F_W3_Jy	F_W4_Jy	F_0.36_um	lam_F_0.36_um	F_0.44_um	lam_F_0.44_um	F_0.55_um	lam_F_0.55_um	F_0.71_um	lam_F_0.71_um	F_0.97_um	lam_F_0.97_um	F_1.24_um	lam_F_1.24_um	F_1.66_um	lam_F_1.66_um	F_2.16_um	lam_F_2.16_um	F_3.55_um	lam_F_3.55_um	F_4.44_um	lam_F_4.44_um	F_5.73_um	lam_F_5.73_um	F_7.87_um	lam_F_7.87_um	F_3.35_um	lam_F_3.35_um	F_4.60_um	lam_F_4.60_um	F_11.56_um	lam_F_11.56_um	F_22.09_um	lam_F_22.09_um	2MASS_ID	WISE_ID
J004440.60+412704.1	J004440.60+412704.1	M31	11.1691666667	41.4511388889	20.53	19.55	18.22	17.5	16.79	15.882	15.723	15.239	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	1.11888813542e-05	6.25100795604e-05	0.000194807950516	0.0002941	0.000506734670568	0.000707437890611	0.000526138347758	0.000534971264765	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	2.59001883198e-13	9.32406779513e-14	9.68647927073e-13	4.26205087912e-13	1.93197967454e-12	1.062588821e-12	1.75024796667e-12	1.24267605634e-12	1.61569137178e-12	1.56722063062e-12	1.39147579658e-12	1.71847260877e-12	5.71424915132e-13	9.49708208949e-13	3.44307454173e-13	7.43359793559e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	00444060+4127042	
J004441.56+412636.6	J004441.56+412636.6	M31	11.1731666667	41.4435	18.35	18.4	17.96	17.66	17.35	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	8.33271769668e-05	0.000180281038715	0.000247517937415	0.000253801990898	0.000302538479264	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	1.92886983719e-12	6.9439314139e-13	2.79361113712e-12	1.22918890033e-12	2.45472334626e-12	1.35009784044e-12	1.51042644851e-12	1.07240277844e-12	9.64624761179e-13	9.35686018344e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99		
J004444.50+412314.3	J004444.50+412314.3	M31	11.1854166667	41.3873055556	18.36	18.22	17.57	17.19	16.84	16.323	15.987	16.615	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	8.25632288164e-05	0.000212789430212	0.000354492194819	0.000391286644327	0.000483927853472	0.000471290100074	0.000412572195925	0.000150636582801	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	1.91118585223e-12	6.88026906804e-13	3.29735687312e-12	1.45083702417e-12	3.51562507258e-12	1.93359378992e-12	2.32862513982e-12	1.65332384927e-12	1.54297328134e-12	1.4966840829e-12	9.26991296512e-13	1.14483425119e-12	4.48083727497e-13	7.447151551e-13	9.69496900963e-14	2.09314380918e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	00444449+4123144	
J004447.45+412409.7	J004447.45+412409.7	M31	11.1977083333	41.4026944444	18.17	18.32	18.1	17.93	17.81	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	9.83527864845e-05	0.000194066266854	0.000217573840307	0.000197922434613	0.000198052632574	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	2.27668487233e-12	8.19606554038e-13	3.00722520951e-12	1.32317909219e-12	2.15775709396e-12	1.18676640168e-12	1.17787602428e-12	8.36291977239e-13	6.31478263069e-13	6.12533915177e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99		
J004458.01+413217.5	J004458.01+413217.5	M31	11.2417083333	41.5381944444	17.83	17.96	17.79	17.67	17.51	17.022	16.244	15.797	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	0.000134519941153	0.00027036473989	0.000289472077073	0.000251475120259	0.000261084217479	0.000247564470792	0.000325611666196	0.000319985615102	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	3.11388752668e-12	1.1209995096e-12	4.18953625862e-12	1.84339595379e-12	2.87079745858e-12	1.57893860222e-12	1.4965787756e-12	1.06257093067e-12	8.32450475542e-13	8.07476961276e-13	4.86940230049e-13	6.0137118411e-13	3.53638200893e-13	5.87746689884e-13	2.05942710878e-13	4.44630312787e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	00445797+4132178	
J004508.90+413117.8	J004508.90+413117.8	M31	11.2870833333	41.5216111111	17.7	17.73	17.12	16.75	16.35	15.74	15.492	15.054	99.99	99.99	99.99	99.99	14.978	15.319	12.525	9.199	0.000151630535472	0.000334156606361	0.000536545648951	0.000586806646832	0.000759942301074	0.000806284511233	0.000650878545856	0.000634352206926	99.99	99.99	99.99	99.99	0.000315876107963	0.000128053158622	0.000309530117366	0.00174888839841	3.50996609889e-12	1.2635877956e-12	5.17804658617e-12	2.27834049791e-12	5.32111387389e-12	2.92661263064e-12	3.49220380975e-12	2.47946470493e-12	2.4230278491e-12	2.35033701363e-12	1.58589947955e-12	1.95858585725e-12	7.06901938268e-13	1.1748710214e-12	4.08269018919e-13	8.81452811847e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	8.43091191005e-14	2.82654752696e-13	1.81329031247e-14	8.34621265024e-14	6.94781732155e-15	8.0322326491e-14	1.07537210591e-14	2.37531416869e-13	00450895+4131175	J004508.88+413118.6
J004509.86+413031.5	J004509.86+413031.5	M31	11.2910833333	41.50875	17.31	17.39	16.83	16.47	16.06	15.531	15.421	15.28	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	0.000217163418063	0.000457035622783	0.000700820306813	0.000759442722066	0.000992614510323	0.000977435969727	0.000694864231373	0.000515146146083	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	5.02693097369e-12	1.80969515053e-12	7.08216357618e-12	3.11615197352e-12	6.95028403451e-12	3.82265621898e-12	4.51959564808e-12	3.20891291014e-12	3.16488843763e-12	3.0699417845e-12	1.92254120486e-12	2.374338388e-12	7.54673625545e-13	1.25426756566e-12	3.3154800971e-13	7.15812152964e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	00450983+4130311	
J004518.17+413615.6	J004518.17+413615.6	M31	11.3257083333	41.6043333333	18.61	18.52	17.84	17.44	17.02	16.116	15.069	14.877	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	6.55823037989e-05	0.000161417289962	0.000276443687465	0.00031081002946	0.000409996943928	0.000570280231278	0.000960948153587	0.000746673013374	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	1.51810888423e-12	5.46519198324e-13	2.50130098082e-12	1.10057243156e-12	2.74159028891e-12	1.5078746589e-12	1.84969269665e-12	1.31328181462e-12	1.30724926324e-12	1.26803178534e-12	1.12169725374e-12	1.38529610837e-12	1.04366032138e-12	1.73456345413e-12	4.80558679067e-13	1.03752618811e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	00451816+4136155	
J004518.76+413630.7	J004518.76+413630.7	M31	11.3281666667	41.6085277778	17.44	17.21	16.7	16.41	16.12	15.39	15.137	14.979	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	0.00019265783193	0.000539448576798	0.000789962867076	0.000802592365924	0.000939248736578	0.0011129824521	0.000902609617354	0.000679720636041	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	4.45967203541e-12	1.60548193275e-12	8.35922381403e-12	3.67805847817e-12	7.8343424834e-12	4.30888836587e-12	4.77638781546e-12	3.39123534897e-12	2.99473505126e-12	2.90489299973e-12	2.18915068681e-12	2.70360109822e-12	9.80300383334e-13	1.6292592371e-12	4.37468135502e-13	9.4449370455e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	00451876+4136302	
J004526.93+412613.6	J004526.93+412613.6	M31	11.3622083333	41.4371111111	19.3	19.2	18.45	17.99	17.52	16.485	15.896	15.92	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	3.47365488885e-05	8.62879302043e-05	0.00015761831389	0.000187281562699	0.000258690582986	0.000405964742262	0.000448642029591	0.000285713298549	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	8.04086779826e-13	2.89471240737e-13	1.33710635647e-12	5.88326796847e-13	1.56315683197e-12	8.59736257583e-13	1.11455006566e-12	7.91330546616e-13	8.24818523708e-13	8.00073967997e-13	7.98501353431e-13	9.86149171487e-13	4.87258217874e-13	8.09823158107e-13	1.83885051265e-13	3.97007825682e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	00452687+4126135	
